Inches,CPU_Frequency_Numeric,Ram_Numeric,Size_Numeric,Weight_Numeric,Log_Price_dollars,Company_Acer,Company_Apple,Company_Asus,Company_Chuwi,Company_Dell,Company_Fujitsu,Company_Google,Company_HP,Company_Huawei,Company_LG,Company_Lenovo,Company_MSI,Company_Mediacom,Company_Microsoft,Company_Razer,Company_Samsung,Company_Toshiba,Company_Vero,Company_Xiaomi,Cpu_Company_AMD,Cpu_Company_Intel,Memory_Structure_Categories_Flash,Memory_Structure_Categories_HDD,Memory_Structure_Categories_Hybrid,Memory_Structure_Categories_SSD,Gpu_Company_AMD,Gpu_Company_Intel,Gpu_Company_Nvidia,OpSys_Android,OpSys_Chrome OS,OpSys_Linux,OpSys_Mac OS X,OpSys_No OS,OpSys_Windows 10,OpSys_Windows 10 S,OpSys_Windows 7,OpSys_macOS,Actual_LR,Predicted_LR,pctDiff_LR,Diff_LR,Actual_RF,Predicted_RF,pctDiff_RF,Diff_RF,Actual_NN,Predicted_NN,pctDiff_NN,Diff_NN
17.3,2.8,16,256,2.7,7.472500744737558,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1759.0,2051.0,17.0,292.0,1759.0,1759.0,0.0,0.0,1759.0,1896.0,8.0,137.0
17.3,2.8,8,256,2.7,7.302496423727326,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1484.0,1383.0,7.0,-101.0,1484.0,1820.0,23.0,336.0,1484.0,1102.0,26.0,-382.0
17.3,2.5,8,256,2.69,6.887552571664617,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,980.0,1170.0,19.0,190.0,980.0,1525.0,56.0,545.0,980.0,1336.0,36.0,356.0
15.6,2.9,8,256,2.67,7.740229524763182,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2299.0,1442.0,37.0,-857.0,2299.0,1811.0,21.0,-488.0,2299.0,1078.0,53.0,-1221.0
15.6,2.8,16,512,2.65,7.615791072035833,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2030.0,2382.0,17.0,352.0,2030.0,1819.0,10.0,-211.0,2030.0,2167.0,7.0,137.0
15.6,2.5,8,1000,2.65,7.002155954403621,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1099.0,1085.0,1.0,-14.0,1099.0,916.0,17.0,-183.0,1099.0,984.0,10.0,-115.0
15.6,1.6,4,1000,2.65,5.8289456176102075,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,340.0,546.0,61.0,206.0,340.0,472.0,39.0,132.0,340.0,449.0,32.0,109.0
17.3,2.7,8,256,2.63,7.1853870155804165,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1320.0,1322.0,0.0,2.0,1320.0,1125.0,15.0,-195.0,1320.0,1083.0,18.0,-237.0
15.6,2.8,8,1000,2.62,7.1846291527173145,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1319.0,1179.0,11.0,-140.0,1319.0,1238.0,6.0,-81.0,1319.0,1045.0,21.0,-274.0
15.6,2.8,8,1000,2.62,6.92951677076365,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1022.0,927.0,9.0,-95.0,1022.0,1119.0,9.0,97.0,1022.0,921.0,10.0,-101.0
